result_path,experiment_name,experiment_timestamp,model,dataset_type,dataset_name,method_type,method_name,seed,thinking,constrained,structured,soft_precision,soft_recall,soft_f1,hard_precision,hard_recall,hard_f1,total_entries,avg_completion_tokens,total_completion_tokens,soft_overlap,soft_predicted,soft_gold,hard_overlap,hard_predicted,hard_gold,error_empty_response,error_format_error,error_span_not_found,error_partial_span_not_found,error_invalid_label,error_partial_invalid_label,error_empty_prediction,error_success,error_format_max_tokens_exceeded,error_format_unescaped_quotes,error_empty_label,error_partial_empty_label,error_quotations_in_spans,error_partial_quotations_in_spans
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_uner_sv_pud_43_20260413_143911_results.json,gemma_4_31b_vanilla,2026-04-13 14:39:11,google/gemma-4-31B-it,ner,uner_sv_pud,json_occurrence,json_occurrence,43,False,False,False,0.9386,0.952,0.9453,0.9079,0.9209,0.9143,577,46.599653379549395,26888,9468,10087,9945,9158,10087,9945,0,0,0,0,0,0,10,567,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_uner_sr_set_46_20260413_143602_results.json,gemma_4_31b_vanilla,2026-04-13 14:36:02,google/gemma-4-31B-it,ner,uner_sr_set,json_occurrence,json_occurrence,46,False,False,False,0.913,0.9598,0.9358,0.9069,0.9534,0.9296,392,56.63775510204081,22202,7789,8531,8115,7737,8531,8115,0,0,0,0,0,0,6,386,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_english_non_overlapping_word_synthetic_data_45_20260413_143501_results.json,gemma_4_31b_vanilla,2026-04-13 14:35:01,google/gemma-4-31B-it,synthetic,english_non_overlapping_word_synthetic_data,json_occurrence,json_occurrence_structured,45,False,False,True,0.9785,0.9602,0.9693,0.9785,0.9602,0.9693,500,160.598,80299,32086,32791,33416,32086,32791,33416,0,0,0,1,0,0,12,487,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_uner_sr_set_45_20260413_143252_results.json,gemma_4_31b_vanilla,2026-04-13 14:32:52,google/gemma-4-31B-it,ner,uner_sr_set,json_occurrence,json_occurrence,45,False,False,False,0.9115,0.9608,0.9355,0.9054,0.9544,0.9293,392,56.765306122448976,22252,7797,8554,8115,7745,8554,8115,0,0,0,0,0,0,6,386,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_uner_sr_set_44_20260413_142942_results.json,gemma_4_31b_vanilla,2026-04-13 14:29:42,google/gemma-4-31B-it,ner,uner_sr_set,json_occurrence,json_occurrence,44,False,False,False,0.9131,0.9583,0.9352,0.907,0.9519,0.9289,392,56.62755102040816,22198,7777,8517,8115,7725,8517,8115,0,0,0,0,0,0,6,386,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_english_non_overlapping_word_synthetic_data_44_20260413_142820_results.json,gemma_4_31b_vanilla,2026-04-13 14:28:20,google/gemma-4-31B-it,synthetic,english_non_overlapping_word_synthetic_data,json_occurrence,json_occurrence_structured,44,False,False,True,0.9769,0.9571,0.9669,0.9769,0.9571,0.9669,500,164.57,82285,31982,32739,33416,31982,32739,33416,0,0,0,1,0,0,15,484,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_uner_sr_set_43_20260413_142630_results.json,gemma_4_31b_vanilla,2026-04-13 14:26:30,google/gemma-4-31B-it,ner,uner_sr_set,json_occurrence,json_occurrence,43,False,False,False,0.9181,0.9606,0.9389,0.912,0.9542,0.9326,392,56.61224489795919,22192,7795,8490,8115,7743,8490,8115,0,0,0,0,0,0,6,386,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_uner_sk_snk_46_20260413_142303_results.json,gemma_4_31b_vanilla,2026-04-13 14:23:03,google/gemma-4-31B-it,ner,uner_sk_snk,json_occurrence,json_occurrence,46,False,False,False,0.9188,0.9014,0.91,0.8821,0.8654,0.8737,557,42.908438061041295,23900,8300,9034,9208,7969,9034,9208,0,0,0,1,0,0,42,514,0,0,0,0,0,0
results/gemma_4_31b_thinking_google__gemma-4-31B-it_json_occurrence_structured_uner_ru_pud_42_20260413_142257_results.json,gemma_4_31b_thinking,2026-04-13 14:22:57,google/gemma-4-31B-it,ner,uner_ru_pud,json_occurrence,json_occurrence_structured,42,True,False,True,0.9,0.9411,0.9201,0.7691,0.8043,0.7863,570,648.5666666666667,369683,9909,11010,10529,8468,11010,10529,0,1,0,0,0,0,2,567,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_english_non_overlapping_word_synthetic_data_43_20260413_142117_results.json,gemma_4_31b_vanilla,2026-04-13 14:21:17,google/gemma-4-31B-it,synthetic,english_non_overlapping_word_synthetic_data,json_occurrence,json_occurrence_structured,43,False,False,True,0.9792,0.9598,0.9694,0.9792,0.9598,0.9694,500,171.982,85991,32074,32756,33416,32074,32756,33416,0,0,0,1,0,0,13,486,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_uner_sk_snk_45_20260413_141937_results.json,gemma_4_31b_vanilla,2026-04-13 14:19:37,google/gemma-4-31B-it,ner,uner_sk_snk,json_occurrence,json_occurrence,45,False,False,False,0.921,0.9017,0.9113,0.8808,0.8623,0.8714,557,42.937163375224415,23916,8303,9015,9208,7940,9015,9208,0,0,0,2,0,0,40,515,0,0,0,0,0,0
results/gemma_4_31b_thinking_google__gemma-4-31B-it_index_wmt-en-is-literary_42_20260413_141751_results.json,gemma_4_31b_thinking,2026-04-13 14:17:51,google/gemma-4-31B-it,wmt,wmt-en-is-literary,index,index,42,True,False,False,0.5903,0.3356,0.4279,0.226,0.1284,0.1638,73,7046.41095890411,514388,1301,2204,3877,498,2204,3877,12,0,0,0,0,1,0,60,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_uner_sk_snk_44_20260413_141610_results.json,gemma_4_31b_vanilla,2026-04-13 14:16:10,google/gemma-4-31B-it,ner,uner_sk_snk,json_occurrence,json_occurrence,44,False,False,False,0.9225,0.8959,0.909,0.8851,0.8596,0.8722,557,42.78994614003591,23834,8249,8942,9208,7915,8942,9208,0,0,0,2,0,0,42,513,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_english_word_synthetic_data_46_20260413_141422_results.json,gemma_4_31b_vanilla,2026-04-13 14:14:22,google/gemma-4-31B-it,synthetic,english_word_synthetic_data,json_occurrence,json_occurrence_structured,46,False,False,True,0.9763,0.8463,0.9067,0.9763,0.8463,0.9067,500,176.132,88066,35882,36754,42397,35882,36754,42397,0,0,0,1,0,0,18,481,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_uner_sk_snk_43_20260413_141243_results.json,gemma_4_31b_vanilla,2026-04-13 14:12:43,google/gemma-4-31B-it,ner,uner_sk_snk,json_occurrence,json_occurrence,43,False,False,False,0.9211,0.9024,0.9116,0.8811,0.8632,0.872,557,43.0197486535009,23962,8309,9021,9208,7948,9021,9208,0,0,0,2,0,0,38,517,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_uner_ru_pud_46_20260413_140833_results.json,gemma_4_31b_vanilla,2026-04-13 14:08:33,google/gemma-4-31B-it,ner,uner_ru_pud,json_occurrence,json_occurrence,46,False,False,False,0.9097,0.9294,0.9195,0.7855,0.8025,0.7939,570,50.18245614035088,28604,9786,10757,10529,8450,10757,10529,0,0,0,0,0,0,14,556,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_english_word_synthetic_data_45_20260413_140720_results.json,gemma_4_31b_vanilla,2026-04-13 14:07:20,google/gemma-4-31B-it,synthetic,english_word_synthetic_data,json_occurrence,json_occurrence_structured,45,False,False,True,0.9771,0.8428,0.905,0.9771,0.8428,0.905,500,175.48,87740,35734,36573,42397,35734,36573,42397,0,0,0,1,0,0,25,474,0,0,0,0,0,0
results/gemma_4_31b_thinking_google__gemma-4-31B-it_index_wmt-en-hi-literary_42_20260413_140529_results.json,gemma_4_31b_thinking,2026-04-13 14:05:29,google/gemma-4-31B-it,wmt,wmt-en-hi-literary,index,index,42,True,False,False,0.2298,0.5502,0.3242,0.0636,0.1522,0.0897,24,6261.708333333333,150281,159,692,289,44,692,289,1,0,0,0,0,0,1,21,1,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_uner_ru_pud_45_20260413_140421_results.json,gemma_4_31b_vanilla,2026-04-13 14:04:21,google/gemma-4-31B-it,ner,uner_ru_pud,json_occurrence,json_occurrence,45,False,False,False,0.9113,0.9309,0.921,0.7908,0.8078,0.7992,570,50.1859649122807,28606,9801,10755,10529,8505,10755,10529,0,0,0,0,0,0,13,557,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_uner_ru_pud_44_20260413_140016_results.json,gemma_4_31b_vanilla,2026-04-13 14:00:16,google/gemma-4-31B-it,ner,uner_ru_pud,json_occurrence,json_occurrence,44,False,False,False,0.9082,0.9319,0.9199,0.7865,0.807,0.7966,570,50.324561403508774,28685,9812,10804,10529,8497,10804,10529,0,0,0,0,0,0,13,557,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_english_word_synthetic_data_44_20260413_140010_results.json,gemma_4_31b_vanilla,2026-04-13 14:00:10,google/gemma-4-31B-it,synthetic,english_word_synthetic_data,json_occurrence,json_occurrence_structured,44,False,False,True,0.9749,0.8433,0.9043,0.9749,0.8433,0.9043,500,179.718,89859,35754,36676,42397,35754,36676,42397,0,0,0,1,0,0,21,478,0,0,0,0,0,0
results/gemma_4_31b_thinking_google__gemma-4-31B-it_json_occurrence_structured_uner_pt_pud_42_20260413_135845_results.json,gemma_4_31b_thinking,2026-04-13 13:58:45,google/gemma-4-31B-it,ner,uner_pt_pud,json_occurrence,json_occurrence_structured,42,True,False,True,0.9181,0.9899,0.9527,0.8943,0.9642,0.9279,592,591.0337837837837,349892,10004,10896,10106,9744,10896,10106,0,1,0,0,0,0,2,589,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_uner_ru_pud_43_20260413_135610_results.json,gemma_4_31b_vanilla,2026-04-13 13:56:10,google/gemma-4-31B-it,ner,uner_ru_pud,json_occurrence,json_occurrence,43,False,False,False,0.9094,0.9319,0.9205,0.781,0.8003,0.7905,570,50.31228070175439,28678,9812,10789,10529,8426,10789,10529,0,0,0,0,0,0,13,557,0,0,0,0,0,0
results/gemma_4_31b_thinking_google__gemma-4-31B-it_index_wmt-en-es-literary_42_20260413_135344_results.json,gemma_4_31b_thinking,2026-04-13 13:53:44,google/gemma-4-31B-it,wmt,wmt-en-es-literary,index,index,42,True,False,False,0.4011,0.2989,0.3426,0.1186,0.0884,0.1013,22,6487.454545454545,142724,142,354,475,42,354,475,2,0,0,0,0,0,0,20,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_english_word_synthetic_data_43_20260413_135243_results.json,gemma_4_31b_vanilla,2026-04-13 13:52:43,google/gemma-4-31B-it,synthetic,english_word_synthetic_data,json_occurrence,json_occurrence_structured,43,False,False,True,0.9764,0.8456,0.9063,0.9764,0.8456,0.9063,500,188.604,94302,35849,36716,42397,35849,36716,42397,0,0,0,1,0,0,20,479,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_wmt-en-zh-social_46_20260413_135240_results.json,gemma_4_31b_vanilla,2026-04-13 13:52:40,google/gemma-4-31B-it,wmt,wmt-en-zh-social,json_occurrence,json_occurrence_structured,46,False,False,True,0.4156,0.2078,0.2771,0.1818,0.0909,0.1212,17,25.529411764705884,434,32,77,154,14,77,154,0,0,0,0,0,0,8,9,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_wmt-en-zh-social_45_20260413_135237_results.json,gemma_4_31b_vanilla,2026-04-13 13:52:37,google/gemma-4-31B-it,wmt,wmt-en-zh-social,json_occurrence,json_occurrence_structured,45,False,False,True,0.46,0.2987,0.3622,0.27,0.1753,0.2126,17,37.05882352941177,630,46,100,154,27,100,154,0,0,0,0,0,0,6,11,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_wmt-en-zh-social_44_20260413_135235_results.json,gemma_4_31b_vanilla,2026-04-13 13:52:35,google/gemma-4-31B-it,wmt,wmt-en-zh-social,json_occurrence,json_occurrence_structured,44,False,False,True,0.4561,0.1688,0.2464,0.2456,0.0909,0.1327,17,17.529411764705884,298,26,57,154,14,57,154,0,0,0,0,0,0,10,7,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_wmt-en-zh-social_43_20260413_135231_results.json,gemma_4_31b_vanilla,2026-04-13 13:52:31,google/gemma-4-31B-it,wmt,wmt-en-zh-social,json_occurrence,json_occurrence_structured,43,False,False,True,0.4694,0.2987,0.3651,0.2551,0.1623,0.1984,17,35.1764705882353,598,46,98,154,25,98,154,0,0,0,0,0,0,6,11,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_wmt-en-uk-social_46_20260413_135227_results.json,gemma_4_31b_vanilla,2026-04-13 13:52:27,google/gemma-4-31B-it,wmt,wmt-en-uk-social,json_occurrence,json_occurrence_structured,46,False,False,True,0.6219,0.2363,0.3425,0.2935,0.1115,0.1616,27,22.11111111111111,597,125,201,529,59,201,529,0,0,0,0,0,0,15,12,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_wmt-en-uk-social_45_20260413_135222_results.json,gemma_4_31b_vanilla,2026-04-13 13:52:22,google/gemma-4-31B-it,wmt,wmt-en-uk-social,json_occurrence,json_occurrence_structured,45,False,False,True,0.7053,0.276,0.3967,0.3865,0.1512,0.2174,27,31.074074074074073,839,146,207,529,80,207,529,0,0,0,0,0,0,13,14,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_wmt-en-uk-social_44_20260413_135219_results.json,gemma_4_31b_vanilla,2026-04-13 13:52:19,google/gemma-4-31B-it,wmt,wmt-en-uk-social,json_occurrence,json_occurrence_structured,44,False,False,True,0.5548,0.1626,0.2515,0.2516,0.0737,0.114,27,17.85185185185185,482,86,155,529,39,155,529,0,0,0,0,0,0,17,10,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_wmt-en-uk-social_43_20260413_135214_results.json,gemma_4_31b_vanilla,2026-04-13 13:52:14,google/gemma-4-31B-it,wmt,wmt-en-uk-social,json_occurrence,json_occurrence_structured,43,False,False,True,0.6585,0.2552,0.3678,0.2634,0.1021,0.1471,27,26.11111111111111,705,135,205,529,54,205,529,0,0,0,0,0,0,15,12,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_wmt-en-ru-social_46_20260413_135207_results.json,gemma_4_31b_vanilla,2026-04-13 13:52:07,google/gemma-4-31B-it,wmt,wmt-en-ru-social,json_occurrence,json_occurrence_structured,46,False,False,True,0.6017,0.44,0.5083,0.241,0.1762,0.2036,34,35.529411764705884,1208,352,585,800,141,585,800,0,0,0,0,0,0,10,24,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_uner_pt_pud_46_20260413_135202_results.json,gemma_4_31b_vanilla,2026-04-13 13:52:02,google/gemma-4-31B-it,ner,uner_pt_pud,json_occurrence,json_occurrence,46,False,False,False,0.9142,0.9763,0.9442,0.8839,0.9439,0.9129,592,48.73986486486486,28854,9866,10792,10106,9539,10792,10106,0,0,1,0,0,0,9,582,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_wmt-en-ru-social_45_20260413_135159_results.json,gemma_4_31b_vanilla,2026-04-13 13:51:59,google/gemma-4-31B-it,wmt,wmt-en-ru-social,json_occurrence,json_occurrence_structured,45,False,False,True,0.6254,0.4925,0.551,0.1905,0.15,0.1678,34,47.3235294117647,1609,394,630,800,120,630,800,0,0,0,0,0,0,8,26,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_wmt-en-ru-social_44_20260413_135153_results.json,gemma_4_31b_vanilla,2026-04-13 13:51:53,google/gemma-4-31B-it,wmt,wmt-en-ru-social,json_occurrence,json_occurrence_structured,44,False,False,True,0.7896,0.4363,0.562,0.319,0.1762,0.2271,34,28.5,969,349,442,800,141,442,800,0,0,0,0,0,0,14,20,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_wmt-en-ru-social_43_20260413_135145_results.json,gemma_4_31b_vanilla,2026-04-13 13:51:45,google/gemma-4-31B-it,wmt,wmt-en-ru-social,json_occurrence,json_occurrence_structured,43,False,False,True,0.6273,0.465,0.5341,0.2277,0.1688,0.1938,34,44.3235294117647,1507,372,593,800,135,593,800,0,0,0,0,0,0,9,25,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_wmt-en-ja-social_46_20260413_135142_results.json,gemma_4_31b_vanilla,2026-04-13 13:51:42,google/gemma-4-31B-it,wmt,wmt-en-ja-social,json_occurrence,json_occurrence_structured,46,False,False,True,0.2241,0.1781,0.1985,0.1897,0.1507,0.1679,13,23.153846153846153,301,13,58,73,11,58,73,0,0,0,0,0,0,7,6,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_wmt-en-ja-social_45_20260413_135140_results.json,gemma_4_31b_vanilla,2026-04-13 13:51:40,google/gemma-4-31B-it,wmt,wmt-en-ja-social,json_occurrence,json_occurrence_structured,45,False,False,True,0.2,0.1781,0.1884,0.1231,0.1096,0.1159,13,30.384615384615383,395,13,65,73,8,65,73,0,0,0,0,0,0,6,7,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_wmt-en-ja-social_44_20260413_135137_results.json,gemma_4_31b_vanilla,2026-04-13 13:51:37,google/gemma-4-31B-it,wmt,wmt-en-ja-social,json_occurrence,json_occurrence_structured,44,False,False,True,0.1613,0.0685,0.0962,0.0968,0.0411,0.0577,13,16.307692307692307,212,5,31,73,3,31,73,0,0,0,0,0,0,9,4,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_wmt-en-ja-social_43_20260413_135134_results.json,gemma_4_31b_vanilla,2026-04-13 13:51:34,google/gemma-4-31B-it,wmt,wmt-en-ja-social,json_occurrence,json_occurrence_structured,43,False,False,True,0.1316,0.0685,0.0901,0.0,0.0,0.0,13,23.76923076923077,309,5,38,73,0,38,73,0,0,0,0,0,0,8,5,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_wmt-en-is-social_46_20260413_135120_results.json,gemma_4_31b_vanilla,2026-04-13 13:51:20,google/gemma-4-31B-it,wmt,wmt-en-is-social,json_occurrence,json_occurrence_structured,46,False,False,True,0.6366,0.2718,0.381,0.3625,0.1548,0.2169,74,37.891891891891895,2804,720,1131,2649,410,1131,2649,0,0,0,0,0,0,24,50,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_wmt-en-is-social_45_20260413_135102_results.json,gemma_4_31b_vanilla,2026-04-13 13:51:02,google/gemma-4-31B-it,wmt,wmt-en-is-social,json_occurrence,json_occurrence_structured,45,False,False,True,0.6158,0.271,0.3764,0.3353,0.1476,0.205,74,46.554054054054056,3445,718,1166,2649,391,1166,2649,0,0,0,0,0,0,21,53,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_wmt-en-is-social_44_20260413_135048_results.json,gemma_4_31b_vanilla,2026-04-13 13:50:48,google/gemma-4-31B-it,wmt,wmt-en-is-social,json_occurrence,json_occurrence_structured,44,False,False,True,0.6502,0.2639,0.3754,0.373,0.1514,0.2154,74,36.7972972972973,2723,699,1075,2649,401,1075,2649,0,0,0,0,0,0,25,49,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_wmt-en-is-social_43_20260413_135031_results.json,gemma_4_31b_vanilla,2026-04-13 13:50:31,google/gemma-4-31B-it,wmt,wmt-en-is-social,json_occurrence,json_occurrence_structured,43,False,False,True,0.5911,0.2571,0.3583,0.2934,0.1276,0.1778,74,45.83783783783784,3392,681,1152,2649,338,1152,2649,0,0,0,0,0,0,24,50,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_wmt-en-hi-social_46_20260413_135026_results.json,gemma_4_31b_vanilla,2026-04-13 13:50:26,google/gemma-4-31B-it,wmt,wmt-en-hi-social,json_occurrence,json_occurrence_structured,46,False,False,True,0.2134,0.2288,0.2209,0.0672,0.072,0.0695,26,26.192307692307693,681,54,253,236,17,253,236,0,0,1,0,0,0,15,10,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_wmt-en-hi-social_45_20260413_135020_results.json,gemma_4_31b_vanilla,2026-04-13 13:50:20,google/gemma-4-31B-it,wmt,wmt-en-hi-social,json_occurrence,json_occurrence_structured,45,False,False,True,0.2086,0.2458,0.2257,0.0612,0.072,0.0661,26,34.38461538461539,894,58,278,236,17,278,236,0,0,1,0,0,0,12,13,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_wmt-en-hi-social_44_20260413_135016_results.json,gemma_4_31b_vanilla,2026-04-13 13:50:16,google/gemma-4-31B-it,wmt,wmt-en-hi-social,json_occurrence,json_occurrence_structured,44,False,False,True,0.1168,0.0975,0.1062,0.0863,0.072,0.0785,26,19.692307692307693,512,23,197,236,17,197,236,0,0,1,0,0,0,17,8,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_wmt-en-hi-social_43_20260413_135012_results.json,gemma_4_31b_vanilla,2026-04-13 13:50:12,google/gemma-4-31B-it,wmt,wmt-en-hi-social,json_occurrence,json_occurrence_structured,43,False,False,True,0.2177,0.2288,0.2231,0.129,0.1356,0.1322,26,30.384615384615383,790,54,248,236,32,248,236,0,0,1,0,0,0,12,13,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_wmt-en-es-social_46_20260413_135002_results.json,gemma_4_31b_vanilla,2026-04-13 13:50:02,google/gemma-4-31B-it,wmt,wmt-en-es-social,json_occurrence,json_occurrence_structured,46,False,False,True,0.3662,0.2629,0.3061,0.1408,0.1011,0.1177,40,34.0,1360,260,710,989,100,710,989,0,0,0,0,0,0,22,18,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_wmt-en-es-social_45_20260413_134953_results.json,gemma_4_31b_vanilla,2026-04-13 13:49:53,google/gemma-4-31B-it,wmt,wmt-en-es-social,json_occurrence,json_occurrence_structured,45,False,False,True,0.4024,0.3064,0.3479,0.158,0.1203,0.1366,40,42.725,1709,303,753,989,119,753,989,0,0,0,0,0,0,19,21,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_wmt-en-es-social_44_20260413_134945_results.json,gemma_4_31b_vanilla,2026-04-13 13:49:45,google/gemma-4-31B-it,wmt,wmt-en-es-social,json_occurrence,json_occurrence_structured,44,False,False,True,0.4347,0.2558,0.3221,0.1598,0.094,0.1184,40,27.1,1084,253,582,989,93,582,989,0,0,0,0,0,0,24,16,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_wmt-en-es-social_43_20260413_134935_results.json,gemma_4_31b_vanilla,2026-04-13 13:49:35,google/gemma-4-31B-it,wmt,wmt-en-es-social,json_occurrence,json_occurrence_structured,43,False,False,True,0.3882,0.2983,0.3373,0.1447,0.1112,0.1258,40,39.425,1577,295,760,989,110,760,989,0,0,0,0,0,0,20,20,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_wmt-en-cs-social_46_20260413_134930_results.json,gemma_4_31b_vanilla,2026-04-13 13:49:30,google/gemma-4-31B-it,wmt,wmt-en-cs-social,json_occurrence,json_occurrence_structured,46,False,False,True,0.5878,0.3362,0.4278,0.3206,0.1834,0.2333,35,23.714285714285715,830,154,262,458,84,262,458,0,0,0,0,0,0,17,18,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_wmt-en-cs-social_45_20260413_134926_results.json,gemma_4_31b_vanilla,2026-04-13 13:49:26,google/gemma-4-31B-it,wmt,wmt-en-cs-social,json_occurrence,json_occurrence_structured,45,False,False,True,0.5736,0.3231,0.4134,0.1938,0.1092,0.1397,35,23.942857142857143,838,148,258,458,50,258,458,0,0,0,0,0,0,18,17,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_wmt-en-cs-social_44_20260413_134922_results.json,gemma_4_31b_vanilla,2026-04-13 13:49:22,google/gemma-4-31B-it,wmt,wmt-en-cs-social,json_occurrence,json_occurrence_structured,44,False,False,True,0.6208,0.3253,0.4269,0.2083,0.1092,0.1433,35,20.857142857142858,730,149,240,458,50,240,458,0,0,0,0,0,0,19,16,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_wmt-en-cs-social_43_20260413_134916_results.json,gemma_4_31b_vanilla,2026-04-13 13:49:16,google/gemma-4-31B-it,wmt,wmt-en-cs-social,json_occurrence,json_occurrence_structured,43,False,False,True,0.5714,0.3231,0.4128,0.278,0.1572,0.2008,35,25.885714285714286,906,148,259,458,72,259,458,0,0,0,0,0,0,18,17,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_wmt-en-zh-literary_46_20260413_134911_results.json,gemma_4_31b_vanilla,2026-04-13 13:49:11,google/gemma-4-31B-it,wmt,wmt-en-zh-literary,json_occurrence,json_occurrence_structured,46,False,False,True,0.3182,0.1438,0.1981,0.197,0.089,0.1226,17,32.529411764705884,553,21,66,146,13,66,146,0,0,0,0,0,0,9,8,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_wmt-en-zh-literary_45_20260413_134905_results.json,gemma_4_31b_vanilla,2026-04-13 13:49:05,google/gemma-4-31B-it,wmt,wmt-en-zh-literary,json_occurrence,json_occurrence_structured,45,False,False,True,0.2,0.1301,0.1577,0.1158,0.0753,0.0913,17,43.64705882352941,742,19,95,146,11,95,146,0,0,0,0,0,0,9,8,0,0,0,0,0,0
results/gemma_4_31b_vanilla_google__gemma-4-31B-it_json_occurrence_structured_wmt-en-zh-literary_44_20260413_134901_results.json,gemma_4_31b_vanilla,2026-04-13 13:49:01,google/gemma-4-31B-it,wmt,wmt-en-zh-literary,json_occurrence,json_occurrence_structured,44,False,False,True,0.3393,0.1301,0.1881,0.1964,0.0753,0.1089,17,25.294117647058822,430,19,56,146,11,56,146,0,0,0,0,0,0,10,7,0,0,0,0,0,0
